#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=36619 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:103 out:100 type:P dur:2 cpbdur:2 q:0.00 aq:0.23 tex:1098449 mv:11259 misc:3132 imb:415 pmb:2006 smb:1179 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:0.00 aq:0.41 tex:899293 mv:17058 misc:3217 imb:114 pmb:2202 smb:1284 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:0.00 aq:0.64 tex:767724 mv:15979 misc:3281 imb:44 pmb:2136 smb:1420 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:0.00 aq:0.62 tex:730795 mv:15387 misc:3282 imb:52 pmb:2180 smb:1368 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:0.00 aq:0.25 tex:1095895 mv:10424 misc:3153 imb:349 pmb:2056 smb:1195 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:0.00 aq:0.40 tex:851367 mv:16210 misc:3303 imb:86 pmb:2233 smb:1281 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:0.00 aq:0.66 tex:710583 mv:14610 misc:3223 imb:48 pmb:2131 smb:1421 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:0.00 aq:0.67 tex:666536 mv:13699 misc:3285 imb:29 pmb:2158 smb:1413 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:0.00 aq:0.14 tex:2201979 mv:12409 misc:372 imb:794 pmb:2804 smb:2 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:0.00 aq:0.34 tex:916576 mv:12542 misc:2298 imb:80 pmb:3006 smb:514 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:0.00 aq:0.62 tex:662996 mv:11736 misc:3300 imb:29 pmb:2230 smb:1341 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:0.00 aq:0.66 tex:594840 mv:12224 misc:3320 imb:26 pmb:2299 smb:1275 d:- ref:0 ;
